Name,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Top 4 carriers,41.8,42.0,42.0,42.8,47.4,51.2,56.5,57.4,56.8,57.3,57.7
Top 10 carriers,63.5,64.3,63.6,64.6,68.0,74.4,82.3,83.1,82.3,84.1,84.2
